№ п/п,"№
документа","Дата
регистрации","Исх. №
Дата",Адресат,Автор,"Краткое
содержание",Примечание
1473,WSR/1-2713/2018,01.11.2018,"64/18-2
01.11.2018",Бородин И.С.,"Гудыно А.В. (ОАО ""ПАРАИНВЕСТ"")",Вх - О необходимости прохождения аттестации/переаттестации,
1474,WSR/1-2712/2018,01.11.2018,"05-194
31.10.2018",Уразов Р.Н.,Черноскутова И.А. (Министерство образования и науки Российской Федерации. Департамент государственной политики в сфере подготовки рабочих кадров и ДПО),"Вх - Об участии в совещании по вопросу разработки плана основных мероприятий по подготовке и проведению Euroskills 2022 в Санкт-Петербурге, 2 ноя 2018 в 10.00 (Москва)",
1475,WSR/1-2711/2018,01.11.2018,"01-27/5340
31.10.2018",Глушко Д.Е.,Федоров А.Ф. (Министерство образования Саратовской области),Вх - О соревнованиях рабочих профессий для специалистов возрастной категории 50+,
1476,WSR/1-2710/2018,01.11.2018,"6-1/12594
29.10.2018",Глушко Д.Е.,Шевцова Т.А. (Департамент образования Орловской области),Вх - О размещении результатов EuroSkills 2018,
1477,WSR/1-2709/2018,01.11.2018,"10.1-15-12691
01.11.2018",Глушко Д.Е.,Король А.М. (Министерство образования и науки Хабаровского края),Вх - О размещении результатов EuroSkills 2018,
1478,WSR/1-2708/2018,01.11.2018,"17-13-488/18-0-0
31.10.2018",Глушко Д.Е.,Мерцалова М.О. (Управление информации - пресс-службы Администрации Губернатора Санкт-Петербурга),Вх - О результатах EuroSkills 2018,
1479,WSR/1.14-2707/2018,31.10.2018,"01-08/2018-831
31.10.2018",Лысова С.И.,"Сурат И.Л. (НОЧУ ВО ""Московский экономический институт"")",Вх - Об участии в ФНМЧ 2018,
1480,WSR/1-2706/2018,31.10.2018,"10838/18
31.10.2018",Уразов Р.Н.,Поминов А.И. (Министерство образования и науки Республики Татарстан),О включение в Экспертный совет проекта развития талантов и профессиональной ориентации школьников,
1481,WSR/1.14-2704/2018,31.10.2018,"57-03-12/237
31.10.2018",Лысова С.И.,Усынина Т.В. (ЧОУ ВО «Международный Институт Дизайна и Сервиса»),Вх - О конкурсантах ФНМЧ 2018,
1482,WSR/1.14-2705/2018,31.10.2018,"б/н
31.10.2018",Лысова С.И.,Бакайтис В.И. (Сибирский университет потребительской кооперации),Вх - О замене участника в ФНМЧ 2018,
1483,WSR/1.10-2703/2018,31.10.2018,"61/10/18
31.10.2018",Тымчиков А.Ю.,"Губайдуллин Э.Ф. (Автономная некоммерческая организация ""Центр развития профессиональных компетенций"")",О замене компетенции в Свидетельстве эксперта РТ на право проведения Регионального чемпионата по стандартам «Ворлдскиллс»,
1484,WSR/1-2702/2018,31.10.2018,"291/10-18
31.10.2018",Уразов Р.Н.,Мурычев А.В. (Совет по профессиональным квалификациям финансового рынка),"Вх - О приглашении на конференцию ""Цифровизация как драйвер профессий будущего""15 ноября 2018г.",
1485,WSR/1-2701/2018,31.10.2018,"03-28-6836/18-0-0
19.10.2018",Лисова Т.А.,Соляников Ю.В. (Комитет по образованию Правительства Санкт-Петербурга),Вх - О приглашении на научно-практическую конференцию,Задвоение письма с WSR/1-2565/2018
1486,WSR/1-2700/2018,31.10.2018,"б/н
31.10.2018",Глушко Д.Е.,Прыткова Ю.В. (Правительство Свердловской области),Вх - Об освещении итогов Чемпионата Европы EuroSkills 2018,
1487,WSR/1-2699/2018,31.10.2018,"02-15-1504И34-2960
30.10.2018",Глушко Д.Е.,Смольянинов А.В. (Управление образования и науки Липецкой области),"Вх - О направлении ссылок на материалы, связанные с торжественным приемом победителя Чемпионата Европы Бабошкина В.С.",
1488,WSR/1-2698/2018,31.10.2018,"70402/12
30.10.2018",Уразов Р.Н.,Ученов А.А. (Министерство промышленности и торговли Российской Федерации),Вх - О направлении информации о проведенных в 2018 году корпоративных чемпионатах и итогах Hi-Tech,
1489,WSR/1-2697/2018,31.10.2018,"08-7276
25.10.2018",Глушко Д.Е.,Якутов О.М. (Министерство образования и науки Амурской области),"Вх - О направлении соглашения о сотрудничестве по реализации Проекта ""Билет в будущее""",
1490,WSR/1-2696/2018,31.10.2018,"01-01-72/15350
31.10.2018",Глушко Д.Е.,Креков П.В. (Правительство Свердловской области Министерство культуры и туризма Свердловской области),Вх - О соревнованиях рабочих профессий для специалистов возрастной категории 50+,
1491,WSR/1.14-2694/2018,31.10.2018,"2341/01
31.10.2018",Лысова С.И.,Бачевский С.В. (Санкт-Петербургский государственный университет телекоммуникаций им.проф.М.А.Бонч-Бруевича),Вх - О включении в список участников Финала Межвузовского чемпионата Тимченко И.Ю.,
1492,WSR/1-2695/2018,31.10.2018,"б/н
31.10.2018",Недоспасова О.В.,Матин Б.В. (Региональный координационный центр во Владимирской области),Вх - О проведении онлайн-опроса среди участников WorldSkills Russia Juniors,
1493,WSR/1-2693/2018,31.10.2018,"688-05/18
21.03.2018",Глушко Д.Е.,Омарова У. (Министерство образования и науки Республики Дагестан),"Вх - О пилотной апробации проведения демэкзамена, Республика Дагестан",
1494,WSR/1-2692/2018,31.10.2018,"б/н
31.10.2018",Уразов Р.Н.,Панина Е.В. (Депутат Государственной Думы),Вх - Об участии в заседании Оргкомитета VI Московского международного инженерного форума 9 ноября 2018г.,
1495,WSR/1-2690/2018,31.10.2018,"03-15-1788/18-0-2
22.10.2018",Глушко Д.Е.,Соляников Ю.В. (Комитет по образованию Правительства Санкт-Петербурга),Вх - Об участии в мероприятиях V Национального чемпионата сквозных рабочих профессий высокотехнологичных отраслей промышленности по методике WorldSkills (WorldSkills Hi-Tech 2018,
1496,WSR/1-2691/2018,31.10.2018,"30/11397
19.10.2018",Лысова С.И.,"Каплюк М.А. (ФГБОУ ВПО ""Ростовский государственный университет путей сообщения"")",Вх - О снижении размера ежегодного взноса,
1497,WSR/1-2689/2018,31.10.2018,"4548-04-45/АСИ
31.10.2018",Глушко Д.Е.,Силинг А.Л. (Агентство стратегических инициатив по продвижению новых проектов),"Вх - О приглашении в Экспертный совет проекта развития талантов и профессиональной ориентации школьников ""Билет в будущее""",
1498,WSR/1.9-2688/2018,31.10.2018,"57-03-12/236
31.10.2018",Саликова К.В.,Усынина Т.В. (ЧОУ ВО «Международный Институт Дизайна и Сервиса»),"Вх - О размещении компетенции ""Дизайн можной одежды и аксессуаров"" на площадке соревнований",
1499,WSR/1-2687/2018,31.10.2018,"05-185
31.10.2018",Уразов Р.Н.,Черноскутова И.А. (Министерство образования и науки Российской Федерации. Департамент государственной политики в сфере подготовки рабочих кадров и ДПО),Вх - О проведении заседания комиссии по вопросу проведения выставки Global Education 1 ноября 2018 г.,
1500,WSR/1-2686/2018,31.10.2018,"7307
22.10.2018",Глушко Д.Е.,"Бердников А.В. (Глава Республики Алтай, Председатель Правительства)",Вх - Об участии в мероприятиях V Национального чемпионата сквозных рабочих профессий высокотехнологичных отраслей промышленности по методике WorldSkills (WorldSkills Hi-Tech 2018),
1501,WSR/1-2685/2018,31.10.2018,"291
29.10.2018",Уразов Р.Н.,"Бобраков А.Ю. (НО ""Фонд информационной поддержки социально-экономического развития Дальнего Востока"")","Вх - Об участии в фестивале ""Дни Дальнего Востока"" и выступлении в качестве спикера в сессии ""Карьера без границ"", 13-15 декабря 2018г.",
1502,WSR/1-2684/2018,30.10.2018,"02-07-1030-18
25.10.2018",Уразов Р.Н.,"Швец И.Ю. (ГБУ города Москвы ""Ресурсный центр по развитию и поддержке волонтерского движения ""Мосволонтер"")","Вх - Об участии в Выездном интенсиве ""ДоброКруг. Добро вокруг"" для обсуждения и решения насущных проблем волонтерского сообщества, 16-18 ноя 2018 (г. Звенигород)",
1503,WSR/1.14-2683/2018,30.10.2018,"4490/101.06
30.10.2018",Лысова С.И.,"Федорук М.П. (ФГБОУ ВПО ""Новосибирский национальный исследовательский государственный университет"")",Вх - О замене участников в ФНМЧ 2018,
1504,WSR/1-2682/2018,30.10.2018,"21.04-86
30.10.2018",Глушко Д.Е.,Суздальцева А.А. (Региональный координационный центр в Московской области),Вх - О согласовании кандидатуры Дмитриева М.Г. в состав оргкомитета РЧ Московской области,
1505,WSR/1-2681/2018,30.10.2018,"3293-75/14-02
30.10.2018",Уразов Р.Н.,"Груздев Д.Н. (ФГУП ""Международное информационное агентство ""РОССИЯ СЕГОДНЯ"")","Вх - Об участии в экспертно-медийном форуме ""Молодые ученые как приоритет Союзного государства"", 13-14 ноя 2018 (Москва)",
1506,WSR/1.14-2680/2018,30.10.2018,"01-47/6504
26.10.2018",Лысова С.И.,"Сидоров О.А. (ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ ""МАРИЙСКИЙ ГОСУДАРСТВЕННЫЙ УНИВЕРСИТЕТ"")",Вх - О замене участника ФНМЧ 2018,
1507,WSR/1.14-2678/2018,30.10.2018,"01-53/796
29.10.2018",Лысова С.И.,"Мнускина И.В. (Автономная некоммерческая образовательная организация высшего образования Центросоюза Российской Федерации ""Российский университет кооперации"" Казанский кооперативный институт (филиал))",Вх - О замене участника ФНМЧ 2018,
1508,WSR/1.14-2679/2018,30.10.2018,"68-03-17-560
29.10.2018",Лысова С.И.,Сканцев В.М. (Федеральное государственное бюджетное образовательное учреждение высшего образования «Брянский государственный технический университет»),Вх - Об участии в ФНМЧ 2018,
1509,WSR/1-2677/2018,30.10.2018,"180/2018
18.10.2018",Мухаметзянов Д.Ф.,"Куприн В.К. (ООО ""Демлинк"")",Вх - О предоставлении информации по возобновлению оплат,
1510,WSR/1-2676/2018,30.10.2018,"9593-05-А
26.10.2018",Глушко Д.Е.,Кулешова Т.В. (Департамент образования и науки Брянской области),Вх - Об объявлении благодарности (ФНЧ 2018),
1511,WSR/1-2674/2018,30.10.2018,"04.1-18/1623
26.10.2018",Крайчинская С.Б.,Щелкун Н.И. (РКЦ Хабаровского края),Вх - О согласовании кандидатуры менеджера компетенции для проведения обучения,
1512,WSR/1-2673/2018,30.10.2018,"ЕВП-2/396
29.10.2018",Уразов Р.Н.,Панина Е.В. (Депутат Государственной Думы),"Вх - Об участии в Московском международном инженерном форуме ""Инженерные кадры в цифровой экономике"", с 21-22 ноя 2018 (Москва)",
1513,WSR/1-2672/2018,29.10.2018,"нл-08/13699
29.10.2018",Глушко Д.Е.,"Ларионова Н.И. (АО ""Корпорация МСП"")",Вх - О заинтересованности двух компаний в трудоустройстве участников движения WS,
1514,WSR/1.9-2671/2018,29.10.2018,"1189/18
29.10.2018",Саликова К.В.,"Михайлов С.В. (ГБПОУ ""Политехнический колледж им. Н.Н. Годовикова"")",Вх - О возможности размещения компетенции «Нейропилотирование» на площадке соревнований,
1515,WSR/1-2670/2018,29.10.2018,"1026/04-АГС
26.10.2018",Уразов Р.Н.,"Свинаренко А.Г. (ОАО ""РОСНАНО"")",Вх - О персональном составе Рабочей группы по вопросам оценки квалификации и качества подготовки кадров,
1516,WSR/1.10-2668/2018,29.10.2018,"505-р
29.10.2018",Тымчиков А.Ю.,"Ажгиревич А.И. (ОООР ""Союз Машиностроителей России"")",Вх - О согласовании професиональных стандартов,
1517,WSR/1-2669/2018,29.10.2018,"НСПК-92/01
29.10.2018",Уразов Р.Н.,Шохин А. (Национальный совет при Президенте РФ по профессиональным квалификациям),Вх - О направлении протокола заочного заседания Национального совета от 19 октября 2018 года №30,
1518,WSR/1-2666/2018,29.10.2018,"исх-434/18
29.10.2018",Тымчиков А.Ю.,Кузина Л.В. (Государственное бюджетное профессиональное образовательное учреждение Московской области “Ногинский колледж”),"Вх - Об оказании методической помощи и направлении для участия в семинаре ""Психолого-педагогические особенности профессионального обучения школьников"" Узалуковой А.В. 13 ноября 2018 года",
1519,WSR/1-2667/2018,29.10.2018,"02-09/917
29.10.2018",Уразов Р.Н.,Ялчикаева Г.Р. (Министерство образования Республики Башкортостан),"Вх - Об участии в Уфимском международном салоне образования ""Образование будущего"" 7-10 ноября 2018 г.",
1520,WSR/1.5-2664/2018,29.10.2018,"АР-2650
25.10.2018",Глушко Д.Е.,"Резник А.П. (Всероссийский детский центр ""Смена"")","Вх - О комплектовании ВДЦ ""Смена"" обучающимся в 2018 году",
1521,WSR/1-2665/2018,29.10.2018,"ИП-185/06
26.10.2018",Уразов Р.Н.,Потехина И.П. (Министерство образования и науки Российской Федерации),"Вх - О направлении протокола заседания ""ПроеКТОриЯ""",
1522,WSR/1-2663/2018,29.10.2018,"305
29.10.2018",Уразов Р.Н.,Михайлова И.В. (Севастопольский центр развития образования),"Вх - О приглашении на III Региональный чемпионат ""Молодые профессионалы"" в Севастополе",
1523,WSR/1.9-2675/2018,30.10.2018,"22-01/1992
29.10.2018",Саликова К.В.,"Кадыров А.Р. (АНО ""Дирекция спортивных и социальных проектов"")",О согласовании Концепции пребывания посетителей,
1524,WSR/1-2662/2018,29.10.2018,"АГ-18/7815-и
25.10.2018",Глушко Д.Е.,никитин а.с. (Администрация Новгородской области),Вх - Об участии в мероприятиях V Национального чемпионата сквозных рабочих профессий высокотехнологичных отраслей промышленности по методике WorldSkills (WorldSkills Hi-Tech 2018),
1525,WSR/1-2661/2018,29.10.2018,"10998-10/25
29.10.2018",Глушко Д.Е.,Федорчук С.В. (Министерство образования Новосибирской области),Вх - Благодарственное письмо на глав субъектов за EuroSkills 2018 (шаблон),
1526,WSR/1-2660/2018,29.10.2018,"б/н
29.10.2018",Уразов Р.Н.,без автора (Без автора),Вх - Об участии в совещании Оргкомитета VI Московского инженерного форума 9 ноября 2018 г.,
1527,WSR/1-2659/2018,29.10.2018,"ДПиИР-18-19-120/8
26.10.2018",Уразов Р.Н.,"Беленькая О.Ю. (Департамент науки, промышленной политики и предпринимательства города Москвы)",Вх - Об оказании содействия касательно внесения изменений в Соглашение с Департаментом предпринимательства и инновационного развития города Москвы,
